Ergebnisübersicht:;;;;;;;
;;;;;;;
Kreuzungs-ID: 68; Kreuzungs-Name: Schneckenburger-Max-Stromeyer;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts;0;0;0;0;0;
1;Nord: Gerade;0;0;0;0;0;
2;Nord: Links;0;0;0;0;0;
3;Ost: Rechts;0;0;0;0;0;
4;Ost: Gerade;0;0,01;2;5;0,57;
5;Ost: Links;0;0,02;2;19;0,79;
6;Süd: Rechts;0;0,13;2;23;4,28;
7;Süd: Gerade;0;0;0;0;0;
8;Süd: Links;0;0,07;2;15;2,22;
9;West: Rechts;0;1,45;3;351;47,52;
10;West: Gerade;3;3,64;6;366;119,28;
11;West: Links;0;0;0;0;0;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 17; Kreuzungs-Name: Fürstenberg-Oberlohn;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0;0;0;0;0
1;Vorgelagert-Ost ;0;0;0;0;0;0
2;Vorgelagert-Süd ;0;0;0;0;0;0
3;Vorgelagert-West;782;386,74;794;1422;3198,37;91,58
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts;0;0;0;0;0;
1;Nord: Gerade;0;0;0;0;0;
2;Nord: Links;0;0;0;0;0;
3;Ost: Rechts;0;0;0;0;0;
4;Ost: Gerade;0;0,53;4;30;16,53;
5;Ost: Links;0;0,05;1;22;1,33;
6;Süd: Rechts;0;0,34;3;59;10,87;
7;Süd: Gerade;0;0;0;0;0;
8;Süd: Links;0;0,13;2;23;4,33;
9;West: Rechts;1;1,74;4;1445;60,85;
10;West: Gerade;5;3,55;6;1369;117,87;
11;West: Links;0;0;0;0;0;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 19; Kreuzungs-Name: Wollmatinger-Friedrich;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0;0;0;0;0
1;Vorgelagert-Ost ;0;0,01;1;16;0,04;0
2;Vorgelagert-Süd ;0;0;0;0;0;0
3;Vorgelagert-West;0;0,07;7;8;0,13;0
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts;0;0;0;0;0;
1;Nord: Gerade;0;0;0;0;0;
2;Nord: Links;0;0;0;0;0;
3;Ost: Rechts;0;0,06;3;15;1,74;
4;Ost: Gerade;0;0,18;4;14;5,7;
5;Ost: Links;0;0;0;0;0;
6;Süd: Rechts;0;0;0;0;0;
7;Süd: Gerade;0;0;0;0;0;
8;Süd: Links;0;0;0;0;0;
9;West: Rechts;0;0;0;0;0;
10;West: Gerade;0;0,56;5;10;19,07;
11;West: Links;0;0,35;4;13;11,57;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 20; Kreuzungs-Name: Wollmatinger-Jahn;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0,12;6;12;1,3;0
1;Vorgelagert-Ost ;0;0;0;0;0;0
2;Vorgelagert-Süd ;0;0;1;4;0;0
3;Vorgelagert-West;0;0;0;0;0;0
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts;0;0,44;4;28;12,91;
1;Nord: Gerade;0;1,15;5;23;38,12;
2;Nord: Links;0;0,61;4;24;19,99;
3;Ost: Rechts;0;0;0;0;0;
4;Ost: Gerade;0;0;0;0;0;
5;Ost: Links;0;0;0;0;0;
6;Süd: Rechts;0;0,14;3;21;4,26;
7;Süd: Gerade;0;0,27;4;18;8,27;
8;Süd: Links;0;0,04;1;15;1,4;
9;West: Rechts;0;0,05;1;21;1,87;
10;West: Gerade;0;0,02;1;16;0,55;
11;West: Links;0;0,09;2;28;2,95;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 23; Kreuzungs-Name: Rheinsteg-Konzil;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;2;3,9;14;49;62,32;27,59
1;Vorgelagert-Ost ;0;0;0;0;0;0
2;Vorgelagert-Süd ;0;0,16;9;38;0,16;0
3;Vorgelagert-West;0;0,01;2;13;0,03;0
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts;3;3,14;6;102;101,29;
1;Nord: Gerade;2;2,22;5;67;71,75;
2;Nord: Links;0;0;0;0;0;
3;Ost: Rechts;0;0;0;0;0;
4;Ost: Gerade;0;0;0;0;0;
5;Ost: Links;0;0;0;0;0;
6;Süd: Rechts;0;0;0;0;0;
7;Süd: Gerade;0;0,61;5;26;18,19;
8;Süd: Links;0;0,71;4;31;23,03;
9;West: Rechts;0;0,36;5;30;11,5;
10;West: Gerade;0;0;0;0;0;
11;West: Links;0;0,42;4;26;12,96;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 25; Kreuzungs-Name: Laube-Döbel;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0;0;0;0;0
1;Vorgelagert-Ost ;1;0,02;3;12;0,07;0
2;Vorgelagert-Süd ;30;17,41;42;225;142,48;63,01
3;Vorgelagert-West;0;0;0;0;0;0
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts;0;0,05;2;29;1,41;
1;Nord: Gerade;0;0,3;4;21;9,29;
2;Nord: Links;0;0,25;3;21;7,66;
3;Ost: Rechts;3;0,9;5;31;28,94;
4;Ost: Gerade;0;0,06;1;18;1,77;
